account_id,customer_id,account_type,account_status,open_date,current_balance,currency,credit_limit
243a6851-6a54-43c7,56a12ef0-5396-4d44,credit card,closed,2023-11-16,60020.88,JPY,23401.68
31cc7341-77bd-4d86,56a12ef0-5396-4d44,savings,closed,2023-12-19,73293.22,JPY,0.0
53131e13-fcdf-43cf,56a12ef0-5396-4d44,loan,active,2024-06-22,61275.23,JPY,0.0
84dc1334-f86f-459f,150c6772-3fdc-446a,investment,pending,2024-06-21,35846.64,GBP,0.0
11adc6e8-6a54-479d,150c6772-3fdc-446a,mortgage,suspended,2023-07-18,48605.14,GBP,0.0
ed08d1b6-9b56-41b4,150c6772-3fdc-446a,mortgage,active,2023-12-14,27549.42,GBP,0.0
33324b3f-4fa6-41b3,407db1fc-1026-46ba,loan,active,2024-05-06,50471.23,INR,0.0
c705c29c-4994-43d0,407db1fc-1026-46ba,savings,active,2024-03-27,88963.59,INR,0.0
8a01e4b5-bae4-44c1,407db1fc-1026-46ba,mortgage,dormant,2024-06-15,83561.79,INR,0.0
c199f1b4-34ed-467a,5068acdb-8e01-4ee1,mortgage,dormant,2024-02-15,237.03,AED,0.0
a187e468-f63c-45ba,5068acdb-8e01-4ee1,savings,active,2024-03-02,76157.45,AED,0.0
462d856f-bf92-4d20,2d0345e9-f420-44e0,savings,pending,2024-07-12,94984.36,GBP,0.0
42ce03e0-3b6d-45ef,5a8984d4-87c2-4062,savings,active,2024-04-15,52535.78,JPY,0.0
0cbce7ce-1b45-48f4,5a8984d4-87c2-4062,savings,active,2024-06-13,43483.7,JPY,0.0
6d52e067-eccd-4e4f,5a8984d4-87c2-4062,loan,active,2024-05-08,55476.02,JPY,0.0
b2c8e229-bcbe-4479,cb7425d9-4e60-456a,savings,suspended,2024-05-06,43137.6,QAR,0.0
e50b5c2f-e11e-41ba,cb7425d9-4e60-456a,mortgage,active,2024-05-30,27734.38,QAR,0.0
301ca8a6-8797-4e81,9cb24562-e0d1-4fd8,credit card,closed,2023-05-27,98868.92,JPY,40552.66
bc2ab44f-ffe3-4eb1,f6b1c1d2-d86f-495e,loan,suspended,2024-03-18,18220.64,QAR,0.0
b0c7787c-fe12-43cd,5626401b-ef42-4e45,investment,suspended,2024-01-20,13759.8,JPY,0.0
46427d24-ada7-4fff,5626401b-ef42-4e45,loan,dormant,2024-07-18,61472.3,JPY,0.0
7bd09428-0c8f-4f76,5626401b-ef42-4e45,credit card,suspended,2023-11-10,36265.53,JPY,17821.72
2cac10b1-34f6-4748,2dc26c39-41e6-473f,loan,closed,2023-01-16,90737.42,EUR,0.0
cd9b91dd-5146-47fe,2dc26c39-41e6-473f,mortgage,active,2023-04-30,64958.77,EUR,0.0
516d8dad-7de8-4f1c,2dc26c39-41e6-473f,mortgage,dormant,2024-02-12,60650.48,EUR,0.0
363f8395-6432-4286,24f16459-348e-443e,credit card,dormant,2023-12-13,82729.71,INR,11819.48
06088cda-7e32-4269,508f2b08-407c-463c,loan,dormant,2024-02-16,94877.01,USD,0.0
b070b824-0000-459a,508f2b08-407c-463c,loan,closed,2023-06-09,29796.86,USD,0.0
1079ecdf-f61a-44a9,508f2b08-407c-463c,savings,closed,2022-10-21,30203.2,USD,0.0
7667f687-3aba-436a,053a674d-1baa-4538,loan,closed,2024-07-05,66041.45,USD,0.0
7499ae6b-7ad7-4d73,053a674d-1baa-4538,savings,active,2024-01-23,31337.01,USD,0.0
94be711b-9d13-4aef,0256da40-db42-4c06,savings,dormant,2024-01-28,37288.25,JPY,0.0
1abda001-1099-4943,2a770885-911e-4bfb,credit card,active,2024-08-03,85000.32,INR,2611.43
584efcd6-48f3-4c26,40165266-4fa7-49b8,credit card,active,2024-08-14,31213.59,AED,48414.99
90ad3cdd-9176-4074,40165266-4fa7-49b8,credit card,closed,2024-08-13,60759.53,AED,32111.99
c9079a2d-5471-4546,e8a53b1c-c7c9-4bc7,loan,dormant,2024-02-21,47639.52,GBP,0.0
7f0c1c45-f0bf-4813,e8a53b1c-c7c9-4bc7,loan,pending,2024-07-14,72845.04,GBP,0.0
5384a20a-d424-4e15,cf5d6db8-3902-4c6a,savings,pending,2024-03-05,43436.59,QAR,0.0
b992e74f-3373-4ef6,cf5d6db8-3902-4c6a,credit card,active,2024-05-06,70916.97,QAR,48383.01
0af6f1fd-9295-4c8f,88a004ad-0023-4c1d,loan,suspended,2024-07-19,50210.61,INR,0.0
9c933e73-bc64-4f3d,88a004ad-0023-4c1d,savings,suspended,2024-08-14,74306.35,INR,0.0
4f6533e6-f36c-4276,88a004ad-0023-4c1d,credit card,pending,2024-07-31,12309.29,INR,4940.2
408a4aa3-2655-4d8b,4222951d-81fc-4c92,investment,suspended,2024-01-04,91102.28,USD,0.0
ce756d98-a83e-48a5,f26372d8-784f-408e,investment,suspended,2024-02-19,44377.64,USD,0.0
ffb1afea-a00b-4631,7ceb7048-a2ea-4abc,mortgage,pending,2024-07-29,63608.18,JPY,0.0
78ceba7b-0e8e-4a0e,7ceb7048-a2ea-4abc,mortgage,pending,2024-07-24,60523.06,JPY,0.0
