customer_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,city,country,occupation,income_bracket,customer_since
56a12ef0-5396-4d44,Jose,Ortiz,2007-11-25,F,jeremy94@example.com,2715042034,163 Charles Inlet,Tokyo,Japan,Exhibition designer,High,2023-07-14
150c6772-3fdc-446a,null,Martin,null,F,lauracarter@example.com,+1-312-393-9931x08517,765 Shirley Port Suite 753,Sheffield,United Kingdom,Press sub,Medium,2023-03-27
407db1fc-1026-46ba,Edwin,Zuniga,1927-05-30,M,chad45@example.com,648-229-0642x07795,8735 Dennis Ridge Apt. 860,Ahmedabad,India,"Production assistant, television",High,2024-02-28
5068acdb-8e01-4ee1,Brianna,Ingram,1928-07-04,F,christopher69@example.com,284-256-4656x5181,48809 David Land,Dubai,UAE,Midwife,Low,2023-12-12
2d0345e9-f420-44e0,null,Burnett,1965-03-12,F,stephen42@example.com,522-502-8030x7534,87045 Vasquez Spur Apt. 550,Bristol,United Kingdom,Housing manager/officer,Medium,2023-10-24
5a8984d4-87c2-4062,Stephanie,Gregory,1954-04-21,M,isaachendrix@example.org,001-765-518-9157x6761,675 Philip Knoll,Osaka,Japan,Chief Technology Officer,High,2024-02-22
cb7425d9-4e60-456a,null,Perry,2022-03-22,F,ashley80@example.com,961.673.6316x7036,983 Shaffer Ways Suite 885,Umm Salal,Qatar,Biomedical scientist,High,2024-02-18
9cb24562-e0d1-4fd8,Rodney,Guerrero,2011-03-31,F,vayala@example.org,744-433-8798,2720 Joseph Lock,Osaka,Japan,Production manager,High,2022-09-05
f6b1c1d2-d86f-495e,Leslie,Richardson,2004-02-29,F,paigestanley@example.com,978.512.1823x23246,46533 Darren Junction Suite 348,Al Khor,Qatar,"Designer, interior/spatial",Medium,2024-03-02
5626401b-ef42-4e45,James,Bird,2007-05-08,M,yvillarreal@example.org,8976167322,94441 Johnson Shore,Fukuoka,Japan,Corporate treasurer,High,2023-08-22
2dc26c39-41e6-473f,Benjamin,Yoder,1932-12-08,M,thorntonscott@example.net,001-971-574-2522,0904 Cox Trafficway,Nuremberg,Germany,"Engineer, biomedical",High,2022-09-29
